City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,uturoa,-16.7333,-151.4333,25.39,78,69,10.66,PF,1699415801
239,colipapa,9.4726,122.5616,26.0,82,100,4.06,PH,1699415801
240,kavaratti,10.5669,72.642,28.34,71,100,1.45,IN,1699415801
241,ribeira grande,38.5167,-28.7,20.43,96,100,7.15,PT,1699415801
242,pisco,-13.7,-76.2167,19.03,82,0,6.17,PE,1699415801
243,vorkuta,67.5,64.0,1.03,100,100,3.64,RU,1699415802
244,bayganin,48.6947,55.8742,8.05,90,94,5.27,KZ,1699415802
245,khark,29.2614,50.3306,25.01,61,0,2.06,IR,1699415802
246,aras-asan,8.8908,126.3033,27.63,83,100,1.69,PH,1699415802
247,hotan,37.0997,79.9269,11.86,16,28,1.5,CN,1699415802
248,bikenibeu village,1.3673,173.1241,30.98,79,75,0.0,KI,1699415802
249,souillac,-20.5167,57.5167,22.21,100,75,0.0,MU,1699415803
250,tsumeb,-19.2333,17.7167,21.2,10,0,3.15,NA,1699415803
251,warmbad,-28.45,18.7333,13.88,57,6,0.46,NA,1699415803
252,kingston,17.997,-76.7936,28.53,87,20,3.09,JM,1699415803
253,tha bo,17.85,102.5814,32.14,74,75,1.03,TH,1699415804
254,bafra,41.5678,35.9069,18.17,67,8,3.4,TR,1699415804
255,prince rupert,54.3161,-130.3201,7.83,91,100,8.75,CA,1699415804
256,antalaha,-14.9003,50.2788,25.11,68,1,2.12,MG,1699415804
257,skovorodino,53.9833,123.9167,-7.92,55,100,4.51,RU,1699415804
258,mata-utu,-13.2816,-176.1745,28.06,83,100,7.27,WF,1699415804
259,yokadouma,3.5167,15.05,21.83,98,100,0.74,CM,1699415805
260,mammoth lakes,37.6485,-118.9721,0.4,70,100,4.63,US,1699415597
261,londa,15.4691,74.5191,22.63,92,100,1.68,IN,1699415805
262,laguna,38.421,-121.4238,15.03,63,0,2.57,US,1699415805
263,tanabe,33.7333,135.3667,20.56,52,0,2.06,JP,1699415805
264,at taj,24.2049,23.2857,18.31,29,0,4.39,LY,1699415806
265,magdagachi,53.45,125.8,-8.58,64,100,4.21,RU,1699415806
266,labrador city,52.9463,-66.9114,-8.05,86,100,7.2,CA,1699415806
267,al hufuf,25.3646,49.5653,21.19,46,0,4.63,SA,1699415806
268,dudinka,69.4058,86.1778,-7.43,92,100,12.96,RU,1699415806
269,carnarvon,-24.8667,113.6333,25.28,53,0,5.36,AU,1699415807
270,vuktyl,63.8567,57.3094,2.28,99,100,4.47,RU,1699415807
271,kareli,22.9167,79.0667,26.44,38,23,0.69,IN,1699415807
272,kirishi,59.4471,32.0205,7.24,94,95,2.52,RU,1699415807
273,thunder bay,48.4001,-89.3168,-0.01,69,100,6.17,CA,1699415753
274,cill airne,52.05,-9.5167,8.16,84,100,8.19,IE,1699415807
275,sabang,5.8933,95.3214,27.8,75,100,2.67,ID,1699415808
276,cabedelo,-6.9811,-34.8339,24.37,77,50,4.74,BR,1699415808
277,tukrah,32.5341,20.5791,20.84,63,1,1.63,LY,1699415808
278,bardai,11.65,7.2333,20.43,24,3,3.09,NG,1699415808
279,teguise,29.0605,-13.564,17.12,63,100,9.77,ES,1699415808
280,pekanbaru,0.5333,101.45,29.18,84,0,0.0,ID,1699415809
281,mejit,10.2753,170.8646,28.0,82,16,10.23,MH,1699415809
282,faya-largeau,17.9257,19.1043,22.55,19,0,7.41,TD,1699415809
283,kenai,60.5544,-151.2583,0.08,88,100,11.83,US,1699415809
284,charleston,32.7766,-79.9309,18.9,82,0,3.09,US,1699415604
285,ghanzi,-21.5667,21.7833,19.23,29,0,3.35,BW,1699415809
286,arar,30.9753,41.0381,16.01,44,0,4.12,SA,1699415810
287,nizhneangarsk,55.7833,109.55,-10.0,67,100,4.02,RU,1699415810
288,tual,-5.6667,132.75,27.38,77,17,4.15,ID,1699415810
289,acarau,-2.8856,-40.12,26.31,77,26,5.79,BR,1699415810
290,richards bay,-28.783,32.0377,19.29,85,100,5.46,ZA,1699415810
291,maragogi,-9.0122,-35.2225,24.75,83,55,3.19,BR,1699415811
292,tayu,-6.5397,111.0518,32.66,51,98,2.57,ID,1699415811
293,baker city,44.7749,-117.8344,3.84,73,0,5.66,US,1699415811
294,lebu,-37.6167,-73.65,9.58,89,10,3.79,CL,1699415811
295,kidal,18.4411,1.4078,24.79,14,25,3.97,ML,1699415811
296,kamimaruko,36.3167,138.2667,17.36,54,11,2.09,JP,1699415812
297,weihai,37.5017,122.1136,17.27,59,5,7.21,CN,1699415812
298,alangalang,11.2061,124.8467,27.61,89,100,2.54,PH,1699415812
299,reggane,26.7158,0.1714,25.05,13,14,4.26,DZ,1699415812
300,chambas,22.1928,-78.9136,21.97,93,95,1.9,CU,1699415812
301,kulhudhuffushi,6.6221,73.07,27.96,73,100,0.61,MV,1699415813
302,east london,-33.0153,27.9116,15.52,82,0,2.57,ZA,1699415813
303,vila velha,-20.3297,-40.2925,19.97,88,75,1.54,BR,1699415813
304,alliance,40.9153,-81.1059,7.78,89,41,3.06,US,1699415705
305,fernandina beach,30.6697,-81.4626,16.99,88,0,0.0,US,1699415813
306,mocimboa,-11.3167,40.35,26.35,79,23,2.71,MZ,1699415813
307,zaozersk,69.4005,32.4476,-2.73,76,99,4.51,RU,1699415814
308,tsiombe,-25.3,45.4833,25.48,65,68,2.96,MG,1699415814
309,iuna,-20.3458,-41.5358,13.61,97,14,0.85,BR,1699415814
310,sandnessjoen,66.0217,12.6316,-1.71,71,80,2.0,NO,1699415814
311,gisborne,-38.6533,178.0042,14.58,57,49,8.44,NZ,1699415814
312,ravar,31.2656,56.8055,17.72,41,0,1.34,IR,1699415815
313,kumylzhenskaya,49.8809,42.5898,5.55,93,1,4.17,RU,1699415815
314,atherton,53.5237,-2.4935,7.94,95,100,4.31,GB,1699415815
315,khandyga,62.6667,135.6,-24.72,93,35,0.19,RU,1699415815
316,horta,38.5333,-28.6333,20.01,96,100,7.15,PT,1699415686
317,namibe,-15.1961,12.1522,18.26,81,5,1.15,AO,1699415815
318,dampit,-8.2116,112.7493,33.35,40,38,3.13,ID,1699415816
319,north bend,43.4065,-124.2243,8.98,100,20,3.6,US,1699415816
320,coquimbo,-29.9533,-71.3436,14.85,88,0,4.12,CL,1699415706
321,yeraliyev,43.2,51.65,13.4,73,0,5.34,KZ,1699415816
322,vigan,17.5747,120.3869,29.4,72,46,1.05,PH,1699415816
323,kovel,51.2153,24.7087,6.19,92,96,1.95,UA,1699415817
324,ust-nera,64.5667,143.2,-23.77,99,99,1.27,RU,1699415817
325,nizhnesortymskiy,62.4397,71.7603,-2.87,93,96,3.63,RU,1699415817
326,angaur state,6.906,134.13,29.0,69,29,2.87,PW,1699415817
327,ancud,-41.8697,-73.8203,9.14,91,90,3.22,CL,1699415817
328,san antonio de pale,-1.4014,5.6325,25.94,79,74,5.27,GQ,1699415818
329,smithers,54.7804,-127.1743,1.18,93,75,1.54,CA,1699415818
330,christchurch,-43.5333,172.6333,13.11,67,100,6.17,NZ,1699415640
331,crane,31.3974,-102.3501,21.73,42,0,5.45,US,1699415818
332,hammerfest,70.6634,23.6821,-0.75,100,100,4.12,NO,1699415818
333,papao,-17.75,-149.55,27.82,85,91,11.24,PF,1699415818
334,coyhaique,-45.5752,-72.0662,7.34,76,20,2.57,CL,1699415753
335,wanlaweyn,2.6185,44.8938,26.05,79,83,2.21,SO,1699415819
336,humberto de campos,-2.5983,-43.4611,25.56,80,80,2.98,BR,1699415819
337,toliara,-23.35,43.6667,26.6,58,5,1.98,MG,1699415819
338,inarajan village,13.2736,144.7484,32.54,79,62,5.68,GU,1699415819
339,palmer,42.1584,-72.3287,9.94,62,20,10.8,US,1699415819
